REGION,SUB_REGION,SUB_REGION_2,HABITAT_TYPE,YEAR,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,AVG_DEPTH,parrotfish_Density,parrotfish_Biomass,hardCoral_PrctCvr,cca_PrctCvr,hydrocoral_PrctCvr,microbioerosion_PrctCvr,macrobioerosion_PrctCvr,hardCoral_G,cca_G,hydrocoral_G,microbioerosion_G,macrobioerosion_G,urchin_G,parrotfish_G,grossP_G,grossE_G,net_G,budget_State,RAP
DRTO,DRTO,DRTO,Bank,2016,2339,24.69092,-83.05819,22.0979993,838.0681818,69.20726076,34,15,1,33,,3.329890918,0.036213082,0.010813013,0.229349521,0.000608581,0,0.346519537,3.376917013,0.576477639,2.800439374,Growth,2.5854585
DRTO,DRTO,DRTO,Bank,2016,2368,24.64973797,-83.01889842,24.68879921,1728.181818,36.60099939,23,0,2,34,,2.359330718,0,0.023616002,0.2376,0.001329162,0,0.343583284,2.38294672,0.582512446,1.800434274,Growth,1.662220629
DRTO,DRTO,DRTO,Bank,2016,2370,24.66657,-83.02176,17.06879945,1250,24.85821058,27,0,9,46,,1.548733207,0,0.114619313,0.24,0,0,0.157781974,1.66335252,0.397781974,1.265570547,Growth,1.168416699
DRTO,DRTO,DRTO,Bank,2016,2687,24.67824,-83.01801,16.61159947,1363.636364,43.07198939,13,1,5,67,,1.464635176,0.003324259,0.07444532,0.24,0,0,0.112609687,1.542404756,0.352609687,1.189795069,Growth,1.098458264
DRTO,DRTO,DRTO,Bank,2016,2665,24.6772,-82.99448,24.68879921,575.2840909,38.42748768,22,0,0,72,,1.380987971,0,0,0.2088,0,0,0.401890541,1.380987971,0.610690541,0.77029743,Growth,0.711164132
DRTO,DRTO,DRTO,Bank,2016,2311,24.70403,-83.04774,21.33599932,1079.545455,49.7481429,15,29,3,39,,1.416244424,0.07001615,0.032440981,0.241434999,0,0,0.543510857,1.518701555,0.784945856,0.733755699,Growth,0.677427595
DRTO,DRTO,DRTO,Bank,2016,2695,24.70196871,-83.0334847,25.45079919,1008.522727,39.96502774,17,2,0,68,,1.307369639,0.00482105,0,0.1872,0,0,0.480635229,1.312190689,0.667835229,0.64435546,Growth,0.594890329
DRTO,DRTO,DRTO,Bank,2016,2372,24.68183,-82.99274,24.9935992,923.2954545,20.16723709,14,5,0,64,,0.877465491,0.012164635,0,0.2376,0,0,0.016527253,0.889630126,0.254127253,0.635502873,Growth,0.586717327
DRTO,DRTO,DRTO,Bank,2016,2295,24.67969,-83.02558,17.22119945,987.2159091,21.30845983,15,1,4,56,,0.811803182,0.002401065,0.043016631,0.240106496,0,0,0.00824222,0.857220878,0.248348717,0.608872162,Growth,0.562130972
DRTO,DRTO,DRTO,Bank,2016,2266,24.61279205,-83.03517767,27.27959913,1008.522727,37.37235487,9,2,0,64,,0.902695798,0.004866324,0,0.167888187,0,0.003031919,0.29987975,0.907562122,0.470799856,0.436762266,Stasis,0.403233408
DRTO,DRTO,DRTO,Bank,2016,2365,24.64244203,-83.02132825,19.35479939,1008.522727,80.21044426,12,0,3,53,,1.001932218,0,0.038068593,0.24,0.001428391,0,0.375435529,1.040000811,0.61686392,0.423136891,Stasis,0.39065401
DRTO,DRTO,DRTO,Bank,2016,2305,24.70013,-83.00943,27.73679911,142.0454545,1.163469107,1.204819277,0,0,96.38554217,,0.069438589,0,0,0.043406377,0,0,0.000949974,0.069438589,0.04435635,0.025082239,Stasis,0.023156755
DRTO,DRTO,DRTO,Bank,2016,2678,24.72227,-82.98708,23.01239927,851.1647727,13.97909308,5,7,0,70,,0.252262892,0.016976412,0,0.2376,0,0,0.039547893,0.269239305,0.277147893,-0.007908588,Stasis,-0.007301471
DRTO,DRTO,DRTO,Bank,2016,2278,24.68256,-83.01213,19.35479939,589.4886364,5.216386572,2,4,0,82,,0.195695676,0.009744879,0,0.221696,0,0,0.003651715,0.205440555,0.225347715,-0.01990716,Stasis,-0.01837895
