"","name","planar_mean","planar_lwr","planar_upr"
"1","Acropora cervicornis",1.75,0.666666666666667,6
"2","Acropora palmata",1.71598173515982,0.738392857142857,8.98749999999998
"3","Acropora prolifera",1.59545454545455,0.638125,3
"4","Agaricia agaricites",3,1,15
"5","Agaricia fragilis",5,1.16695652173913,16.475
"6","Agaricia grahamae",5.16666666666667,1.1328125,23.3
"7","Agaricia humilis",2.77777777777778,0.857142857142857,15
"8","Agaricia lamarcki",6,1.3,35.85
"9","Agaricia spp",3,1,12
"10","Agaricia tenuifolia",2,0.8125,14.3125
"11","Cladocora arbuscula",2,1.23,3.93333333333333
"12","Colpophyllia natans",3,1.1,15.9499999999999
"13","Dendrogyra cylindrus",1.1952380952381,0.3221875,5.15
"14","Dichocoenia stokesii",2,1,10
"15","Diploria labyrinthiformis",2.25,1,11.725
"16","Eusmilia fastigiata",2,1,4.13749999999999
"17","Favia fragum",2.36666666666667,1.08522727272727,10.125
"18","Helioceris cucullata",5,1,25.9
"19","Isophyllastrea rigida",2.5,1.17644230769231,5.225
"20","Isophyllia sinuosa",2.66666666666667,1.25,5.25
"21","Isophyllia spp",NA,NA,NA
"22","Madracis auretenra",2,0.919270833333333,5.21875
"23","Madracis carmabi",3.41666666666667,3.3375,3.49583333333333
"24","Madracis decactis",2.33333333333333,0.807142857142857,13
"25","Madracis formosa",2,0.606089743589744,7.8375
"26","Madracis pharensis",4.33333333333333,1.22125,17.875
"27","Madracis senaria",2.07142857142857,0.952777777777778,20.4
"28","Madracis spp",3.31666666666667,1.205,19.775
"29","Manicina areolata",2.5,1.2969696969697,7.3
"30","Meandrina danae",3,1.75,6.825
"31","Meandrina jacksoni",3.75,1.25386363636364,16.35
"32","Meandrina meandrites",3,1,12
"33","Meandrina spp",2.5,2.5,2.5
"34","Montastraea cavernosa",2,0.716758241758242,15
"35","Mussa angulosa",3,1.475,9.75
"36","Mycetophyllia aliciae",5.5,1.903125,22.325
"37","Mycetophyllia danaana",2,1.19366515837104,14.7
"38","Mycetophyllia ferox",7.45,1.8075,22.05
"39","Mycetophyllia lamarckiana",4,2.30208333333333,8.79166666666667
"40","Mycetophyllia spp",5.5,2.5,16.6
"41","Oculina diffusa",1.5,0.825,3.38749999999999
"42","Oculina robusta",1.33333333333333,1.01666666666667,1.65
"43","Oculina spp",1.25,1.25,1.25
"44","Orbicella annularis",1.5,0.6,7.72999999999999
"45","Orbicella annularis species complex",5,0.825833333333333,29.225
"46","Orbicella faveolata",2.66666666666667,0.833333333333333,18
"47","Orbicella franksi",2.83333333333333,0.857142857142857,18
"48","Orbicella spp",5,1,58.9999999999999
"49","Other coral",2.05555555555556,1.3375,24.55
"50","Phyllangia americana",2.5,2.5,2.5
"51","Porites astreoides",2.5,0.923076923076923,12
"52","Porites branneri",3,0.921875,9.375
"53","Porites colonensis",5,2.10357142857143,18.85
"54","Porites divaricata",1.76923076923077,0.769230769230769,5
"55","Porites furcata",2,0.730357142857143,5.055
"56","Porites porites",1.85714285714286,0.75,6
"57","Porites spp",2,0.83,7.59999999999999
"58","Pseudodiploria clivosa",4,1.18705882352941,21.1
"59","Pseudodiploria spp",3.5,1.91461038961039,12.7
"60","Pseudodiploria strigosa",2.6,1,16
"61","Scleractinia spp",2.3,1.635,2.965
"62","Scolymia cubensis",4,1.66666666666667,5
"63","Scolymia lacera",2.75,2,5.6625
"64","Scolymia spp",3,2,6
"65","Siderastrea radians",3.66666666666667,1.2,10
"66","Siderastrea siderea",3,1.1875,11
"67","Siderastrea spp",5,2.55,28.375
"68","Solenastrea bournoni",1.86607142857143,0.8,11.79
"69","Solenastrea hyades",2.5,2.5,2.5
"70","Solenastrea spp",2.725,0.637784090909091,6.75
"71","Stephanocoenia intersepta",3.25,1.19203296703297,12
"72","Tubastraea coccinea",2,1.02142857142857,4.425
"73","Undaria spp",4.33333333333333,0.653157894736842,29.65
