Taxon,Test size,Bioerosion rate
Diadema antillarum,10,0.133290132
Diadema antillarum,30,0.827874245
Diadema antillarum,50,1.935377702
Diadema antillarum,70,3.386015795
Diadema antillarum,90,5.141984292
Echinometra lucunter,10,0.021979674
Echinometra lucunter,30,0.170531528
Echinometra lucunter,50,0.442110079
Echinometra lucunter,70,0.828027174
Echinometra lucunter,90,1.323086111
Echinometra viridis,10,0.021979674
Echinometra viridis,30,0.170531528
Echinometra viridis,50,0.442110079
Echinometra viridis,70,0.828027174
Echinometra viridis,90,1.323086111
Eucidaris tribuloides,10,0.022235275
Eucidaris tribuloides,30,0.308104646
Eucidaris tribuloides,50,1.046015056
Eucidaris tribuloides,70,2.339877383
Eucidaris tribuloides,90,4.269273582
