"","name","morphology","ext_mean","ext_sd","planar_ratio_mean","planar_ratio_upr","planar_ratio_lwr","planar_mean","planar_upr","planar_lwr"
"1","Acropora cervicornis","branching",11.5733333333333,0.194072794137328,1.75,6,0.666666666666667,20.2533333333333,69.44,7.71555555555555
"2","Acropora palmata","branching",6.69047619047619,0.0653681690461378,1.71598173515982,8.98749999999998,0.738392857142857,11.4807349423788,60.1306547619046,4.94019982993197
"3","Acropora prolifera","branching",5.3835,0.4748247,1.59545454545455,3,0.638125,8.58912954545455,16.1505,3.4353459375
"4","Agaricia agaricites","encrusting/sub-massive",0.3063125,0.0106188433313536,3,15,1,0.9189375,4.5946875,0.3063125
"5","Agaricia fragilis","plating",0.483333333333333,0.00653333333333334,5,16.475,1.16695652173913,2.41666666666667,7.96291666666665,0.564028985507246
"6","Agaricia grahamae","plating",0.483333333333333,0.00653333333333334,5.16666666666667,23.3,1.1328125,2.49722222222222,11.2616666666666,0.547526041666667
"7","Agaricia humilis","encrusting/sub-massive",0.3063125,0.0106188433313536,2.77777777777778,15,0.857142857142857,0.850868055555555,4.5946875,0.262553571428571
"8","Agaricia lamarcki","plating",0.483333333333333,0.00653333333333334,6,35.85,1.3,2.9,17.3275,0.628333333333333
"9","Agaricia tenuifolia","platy branches",0.483333333333333,0.00653333333333334,2,14.3125,0.8125,0.966666666666667,6.91770833333333,0.392708333333333
"10","Cladocora arbuscula","branching",1.931475,0.162504994685548,2,3.93333333333333,1.23,3.86295,7.597135,2.37571425
"11","Colpophyllia natans","massive",0.635444444444444,0.0113624185957779,3,15.9499999999999,1.1,1.90633333333333,10.1353388888888,0.698988888888889
"12","Dendrogyra cylindrus","columnar",1.341,0.0694244605419156,1.1952380952381,5.15,0.3221875,1.60281428571429,6.90615,0.4320534375
"13","Dichocoenia stokesii","massive",0.2,0,2,10,1,0.4,2,0.2
"14","Diploria labyrinthiformis","massive",0.408,0.0045692962573663,2.25,11.725,1,0.918,4.78379999999999,0.408
"15","Eusmilia fastigiata","branching",0.7,0,2,4.13749999999999,1,1.4,2.89624999999999,0.7
"16","Favia fragum","submassive",0.5,0,2.36666666666667,10.125,1.08522727272727,1.18333333333333,5.0625,0.542613636363636
"17","Isophyllia sinuosa","massive",0.5,0,2.66666666666667,5.25,1.25,1.33333333333333,2.625,0.625
"18","Madracis auretenra","branching",1.51,0.0595680943682661,2,5.21875,0.919270833333333,3.02,7.8803125,1.38809895833333
"19","Madracis carmabi","branching",1.931475,0.162504994685548,3.41666666666667,3.49583333333333,3.3375,6.59920625,6.7521146875,6.4462978125
"20","Madracis decactis","encrusting/sub-massive",0.3063125,0.0106188433313536,2.33333333333333,13,0.807142857142857,0.714729166666667,3.9820625,0.247237946428571
"21","Madracis formosa","branching",1.931475,0.162504994685548,2,7.8375,0.606089743589744,3.86295,15.1379353125,1.1706471875
"22","Madracis pharensis","encrusting/sub-massive",0.3063125,0.0106188433313536,4.33333333333333,17.875,1.22125,1.32735416666667,5.4753359375,0.374084140625
"23","Madracis senaria","encrusting/sub-massive",0.3063125,0.0106188433313536,2.07142857142857,20.4,0.952777777777778,0.634504464285714,6.248775,0.291847743055556
"24","Manicina areolata","freeliving",0.842333333333333,0.0149081733883725,2.5,7.3,1.2969696969697,2.10583333333333,6.14903333333333,1.09248080808081
"25","Meandrina danae","freeliving",0.1146,0.00128615432977539,3,6.825,1.75,0.3438,0.782145,0.20055
"26","Meandrina meandrites","massive",0.1146,0.00128615432977539,3,12,1,0.3438,1.3752,0.1146
"27","Montastraea cavernosa","massive",0.379,0.00961708199932902,2,15,0.716758241758242,0.758,5.685,0.271651373626374
"28","Mussa angulosa","submassive",0.50650114973279,0.0237020885446068,3,9.75,1.475,1.51950344919837,4.93838620989471,0.747089195855866
"29","Mycetophyllia aliciae","plating",0.483333333333333,0.00653333333333334,5.5,22.325,1.903125,2.65833333333333,10.7904166666667,0.91984375
"30","Mycetophyllia ferox","plating",0.483333333333333,0.00653333333333334,7.45,22.05,1.8075,3.60083333333333,10.6575,0.873625
