SUB_REGION,HABITAT_TYPE,AVG_MICROBIOEROSION,STDEV_MICROBIOEROSION,AVG_MACROBIOEROSION,STDEV_MACROBIOEROSION,AVG_URCHIN,STDEV_URCHIN,AVG_PARROTFISH,STDEV_URCHIN
SEFCRI,SEFCRI,0.239103048,0.153501849,0.022439707,0.08515827,0.001419772,0.00746544,0.270652791,0.634767463
Biscayne,Inshore,0.197394825,0.031445906,0.004840559,0.016910242,0.000233225,0.000840903,0.092581819,0.14792858
Biscayne,MidChannel,0.200789611,0.047881576,0.016249488,0.046565035,0.000786053,0.004084451,0.259266374,0.342742427
Biscayne,Offshore,0.190952238,0.046395513,0.020199546,0.055574839,0.003474611,0.010749307,0.364833217,0.394916233
UpperKeys,Inshore,0.18703455,0.039376051,0.001718293,0.010148772,8.19E-05,0.000498444,0.326856242,0.412394978
UpperKeys,MidChannel,0.193678204,0.042248379,0.003637277,0.018947329,0.002534238,0.008766539,0.663292618,0.853540501
UpperKeys,Offshore,0.208617207,0.028864972,0.011360958,0.037796368,0.000468671,0.00378428,1.026828698,1.294142649
MiddleKeys,Inshore,0.180910737,0.035837658,0.041257297,0.071459735,0,0,0.120184188,0.206437702
MiddleKeys,MidChannel,0.197557767,0.044439148,0.0002475,0.000484344,0.000137814,0.000457079,0.300245768,0.340581642
MiddleKeys,Offshore,0.200896955,0.037667363,0.003427448,0.015786865,0.000939016,0.004723812,0.370476842,0.689118213
LowerKeys,Inshore,0.200528096,0.027231906,5.78E-05,0.000264792,0.000144377,0.000661619,0.198422298,0.216476736
LowerKeys,MidChannel,0.173323034,0.044782981,0.007879539,0.034465246,0.019258529,0.03804218,0.259730566,0.382750258
LowerKeys,Offshore,0.211888242,0.035511741,0.00490415,0.024222437,0.002027535,0.01140221,0.681046095,0.891512248
DryTortugas,Bank,0.202067233,0.036697513,0.011418742,0.034310722,0.005557391,0.019777505,0.39899498,0.464229704
DryTortugas,Forereef,0.209240071,0.035698688,0.013029387,0.037896178,0.007619836,0.027422131,0.376962219,0.483669045
DryTortugas,Lagoon,0.215128437,0.041805903,0.005159627,0.022809319,0.032566109,0.051110474,0.458416638,0.38527474
