PRIMARY_SAMPLE_UNIT,YEAR,MONTH,DAY,REGION,SUB_REGION,LAT_DEGREES,LON_DEGREES,AVG_DEPTH,percentCover_HardCoral,percentCvr_HydroCoral,percentCvr_CCA,percentCvr_Substrate,percentCvr_Sponges,percentCvr_MacroAlgae,percentCvr_SoftCorals,percentCvr_Seagrasses,percentCvr_TurfAlgae,parrotfish_Density,parrotfish_Biomass_kg_transect,parrotfish_Biomass_kg_ha,HardCoral_G,HydroCoral_G,CCA_G,Macrobioerosion_G,Microbioerosion_G,Diadema_G,Parrotfish_G,GrossProduction_G,GrossErosion_G,NetProduction_G,ReefAccretionPotential
1004,2018,9,11,FLK,Lower Keys,24.53334,-81.86984,2.743199912,0,0,0,2,4,90,1,2,0,28.40909091,0.002705785,0.152869205,0,0,0,0,-0.2352,0,0,0,-0.2352,-0.2352,-0.21714444
1008,2018,8,13,FLK,Lower Keys,24.552333,-81.685733,5.94359981,20,0,0,44,5,21,4,0,4,1051.136364,1.986543199,112.234079,1.392084142,0,0,-0.001213431,-0.238273643,0,-0.289041018,1.392084142,-0.528528091,0.863556051,0.797263584
1012,2016,12,8,FLK,Biscayne,25.31024,-80.21864,5.333999829,15,0,4,15,9,8,13,3,31,1754.261364,0.688409785,38.89320821,1.093998056,0,0.009629693,0,-0.228705205,-0.003031919,-0.254793272,1.103627748,-0.486530395,0.617097353,0.569724741
1014,2018,11,8,FLK,Upper Keys,24.95012,-80.55208,3.352799893,1,0,1,0,7,66,4,0,21,151.4204545,0.227016002,12.82576282,0.057958334,0,0.002400018,0,-0.240001841,0,-0.034579043,0.060358352,-0.274580884,-0.214222532,-0.197777346
1020,2018,8,14,FLK,Lower Keys,24.521733,-81.652317,6.095999805,32,0,1,25,13,0,17,0,10,1207.386364,0.781686268,44.16306598,1.597796521,0,0.0024,0,-0.24,0,-0.261885908,1.600196521,-0.501885908,1.098310613,1.013996781
1030,2018,8,14,FLK,Lower Keys,24.5348,-81.632267,5.791199815,21,0,0,1,12,3,14,0,44,1150.568182,0.814742576,46.03065399,1.43988271,0,0,-0.00121,-0.2376,-0.02122343,-0.103692965,1.43988271,-0.363726395,1.076156314,0.993543197
1031,2018,8,22,FLK,Lower Keys,24.47869,-81.96274,10.66799966,1,0,0,77,5,13,2,0,1,269.8863636,0.022865946,1.291861373,0.099191088,0,0,0,-0.055209116,0,0,0.099191088,-0.055209116,0.043981972,0.040605615
1039,2016,12,2,FLK,Biscayne,25.38479,-80.15346,7.924799746,5,0,9,0,14,17,6,0,47,1534.034091,0.948022845,53.56061271,0.357058004,0,0.022318001,-0.000625111,-0.245498012,0,-0.078325579,0.379376005,-0.324448701,0.054927304,0.050710709
1043,2018,9,12,FLK,Lower Keys,24.48484,-81.85841,6.857999781,10,0,0,15,18,4,14,0,38,681.8181818,0.057766601,3.263649784,0.689392483,0,0,0,-0.204632467,0,0,0.689392483,-0.204632467,0.484760017,0.447546524
1047,2018,8,13,FLK,Lower Keys,24.50585,-81.709333,5.94359981,6,1,3,11,12,9,10,0,44,359.7727273,0.061548371,3.477309087,0.34574426,0.010749388,0.0072,-0.000605,-0.2232,-0.003031919,-0.014700207,0.363693648,-0.241537126,0.122156522,0.112778952
1049,2016,12,2,FLK,Biscayne,25.41623,-80.14463,3.200399898,18,2,7,0,9,22,6,0,34,1143.494318,0.525328122,29.67955494,0.982168056,0.021815191,0.017047259,-0.001227809,-0.243532278,-0.02122343,-0.232262948,1.021030507,-0.498246464,0.522784043,0.482651565
1050,2018,10,24,FLK,Middle Keys,24.72065,-80.92662,5.333999829,21,1,1,2,8,2,28,0,36,1193.181818,1.452454295,82.0595647,1.264806848,0.010951812,0.002445195,0,-0.244519485,0,-0.147317686,1.278203855,-0.391837171,0.886366684,0.818323117
1053,2018,10,24,FLK,Middle Keys,24.68983,-81.03317,6.2483998,22,0,0,14,0,25,0,0,39,1704.545455,2.384102149,134.6950366,1.219176798,0,0,0,-0.2064,0,-0.358555124,1.219176798,-0.564955124,0.654221674,0.603999145
1056,2016,12,8,FLK,Biscayne,25.32453,-80.16182,10.97279965,1,0,0,47,10,9,4,0,26,892.0454545,0.277916855,15.70151724,0.048133985,0,0,-0.00060943,-0.13296653,0,-0.07066397,0.048133985,-0.20423993,-0.156105945,-0.144122185
1059,2018,11,8,FLK,Upper Keys,24.90323,-80.61779,3.505199888,11,0,2,3,1,34,0,38,10,1271.306818,0.275966794,15.59134431,0.615917889,0,0.0048,0,-0.0864,0,-0.003522112,0.620717889,-0.089922112,0.530795777,0.490048264
