Taxon,Morphology_partial_mortality,Morphology_ReefBudget
Acropora spp.,branching,branching
Acropora cervicornis,branching,branching
Acropora palmata,branching,branching
Acropora prolifera,branching,branching
Agaricia spp.,foliose,encrusting/sub-massive
Agaricia agaricites,other,encrusting/sub-massive
Agaricia fragilis,other,foliose
Agaricia grahamae,foliose,foliose
Agaricia humilis,other,encrusting/sub-massive
Agaricia lamarcki,foliose,foliose
Agaricia tenuifolia,foliose,foliose
Agaricia undata,foliose,foliose
Crustose coralline algae,NA,CCA
Cladocora arbuscula,branching,branching
Colpophyllia natans,other,massive
Dendrogyra cylindrus,other,columnar
Dichocoenia stokesi,other,massive
Diploria labyrinthiformis,other,massive
Eusmilia fastigiata,other,branching
Favia fragum,other,submassive
Hard coral,other,
Hard Coral (branching),branching,branching
Hard Coral (encrusting),other,encrusting
Hard Coral (foliose),foliose,foliose
Hard Coral (massive),other,massive
Helioseris cucullata,foliose,foliose
Isophyllia spp.,other,massive
Isophyllia rigida,other,massive
Isophyllia sinuosa,other,massive
Madracis spp.,other,branching
Madracis auretenra,branching,branching
Madracis carmabi,branching,branching
Madracis decactis,other,encrusting/sub-massive
Madracis formosa,other,branching
Madracis pharensis,other,encrusting/sub-massive
Madracis senaria,other,encrusting/sub-massive
Manicina areolata,other,freeliving
Meandrina spp.,other,freeliving
Meandrina meandrites,other,massive
Millepora spp.,branching,branching
Millepora alcicornis,branching,branching
Millepora complanata,foliose,branching
Millepora squarrosa,branching,encrusting
Montastraea cavernosa,other,massive
Mussa angulosa,other,submassive
Mycetophyllia spp.,other,foliose
Mycetophyllia aliciae,other,foliose
Mycetophyllia ferox,foliose,foliose
Mycetophyllia lamarckiana,other,submassive
Oculina spp.,branching,branching
Oculina diffusa,branching,branching
Orbicella spp.,other,massive
Orbicella annularis,other,massive
Orbicella faveolata,other,massive
Orbicella franksi,other,massive
Porites spp.,other,submassive
Porites astreoides,other,encrusting/sub-massive
Porites branneri,other,foliose
Porites colonensis,foliose,branching
Porites divaricata,branching,branching
Porites furcata,branching,branching
Porites porites,branching,branching
Pseudodiploria spp.,other,massive
Pseudodiploria clivosa,other,massive
Pseudodiploria strigosa,other,massive
Scolymia spp.,other,freeliving
Scolymia cubensis,other,freeliving
Scolymia lacera,other,freeliving
Siderastrea spp.,other,encrusting/sub-massive
Siderastrea radians,other,massive
Siderastrea siderea,other,massive
Solenastrea spp.,other,massive
Solenastrea bournoni,other,submassive
Solenastrea hyades,other,submassive
Stephanocoenia intersepta,other,massive
Stylaster roseus,branching,branching
Tubastraea coccinea,other,branching
