Species,Class,count,baseline,count2,months12,Site,area,Location
Acropora spp.,HC,,,,,EDR9,500,Inshore
Acropora cervicornis,HC,,,,,EDR9,500,Inshore
Acropora palmata,HC,,0,5,0.306372549,EDR9,500,Inshore
Porites spp.,HC,,,,,EDR9,500,Inshore
Porites porites,HC,,,,,EDR9,500,Inshore
Porites furcata,HC,,,,,EDR9,500,Inshore
Porites divaricata,HC,,,,,EDR9,500,Inshore
Porites astreoides,HC,35,2.255154639,47,2.879901961,EDR9,500,Inshore
Oculina spp.,HC,,,,,EDR9,500,Inshore
Oculina robusta,HC,,,,,EDR9,500,Inshore
Oculina varicosa,HC,,,,,EDR9,500,Inshore
Oculina diffusa,HC,,,,,EDR9,500,Inshore
Madracis spp.,HC,,,,,EDR9,500,Inshore
Madracis auretenra,HC,,,,,EDR9,500,Inshore
Madracis formosa,HC,,,,,EDR9,500,Inshore
Madracis decactis,HC,,,1,0.06127451,EDR9,500,Inshore
Dendrogyra cylindrus,HC,,,,,EDR9,500,Inshore
Siderastrea spp.,HC,,,,,EDR9,500,Inshore
Siderastrea siderea,HC,3,0.193298969,4,                                                                       ,EDR9,500,Inshore
Siderastrea radians,HC,,,,,EDR9,500,Inshore
Stephanocoenia intersepta,HC,2,0.128865979,,,EDR9,500,Inshore
Montastraea cavernosa,HC,,,,,EDR9,500,Inshore
Orbicella spp.,HC,,,,,EDR9,500,Inshore
Orbicella annularis,HC,,,,,EDR9,500,Inshore
Orbicella faveolata,HC,23,1.481958763,22,1.348039216,EDR9,500,Inshore
Orbicella franksi,HC,,,,,EDR9,500,Inshore
Favia fragum,HC,,,,,EDR9,500,Inshore
Dichocoenia stokesii,HC,,,,,EDR9,500,Inshore
Solenastraea bournoni,HC,,,,,EDR9,500,Inshore
Solenastraea hyades,HC,,,,,EDR9,500,Inshore
Colpophyllia natans,HC,,,,,EDR9,500,Inshore
Pseudodiploria spp.,HC,,,,,EDR9,500,Inshore
Pseudodiploria strigosa,HC,,,,,EDR9,500,Inshore
Pseudodiploria clivosa,HC,,,,,EDR9,500,Inshore
Diploria labyrinthiformis,HC,,,,,EDR9,500,Inshore
Manicina areolata,HC,,,,,EDR9,500,Inshore
Meandrina spp.,HC,,,,,EDR9,500,Inshore
