name,length_mean,length_lwr,length_upr
Acropora cervicornis,20,7,66.825
Acropora palmata,12.5,6.975,18
Agaricia agaricites,9,4,29
Agaricia fragilis,8,4,19.475
Agaricia grahamae,NA,NA,NA
Agaricia humilis,7.5,4,23.475
Agaricia lamarcki,24,5,82.825
Agaricia spp,6.5,4.275,8.45
Cladocora arbuscula,6,6,9.7
Colpophyllia natans,30,5,122
Crustose coralline algae,5,NA,NA
Dendrogyra cylindrus,115,115,115
Dichocoenia stokesii,8,4,25
Diploria labyrinthiformis,18,4,55
Eusmilia fastigiata,8,4,24
Favia fragum,4,4,20
Helioceris cucullata,14,5,33.775
Isophyllastrea rigida,22,22,22
Isophyllia sinuosa,6,6,6
Madracis auretenra,7,5,123.15
Madracis decactis,12,4,40
Madracis formosa,10.5,5,23.375
Madracis pharensis,20,20,20
Madracis senaria,13,6.95,28.525
Madracis spp,11,5.3,25.25
Manicina areolata,5,4,15.975
Meandrina danae,7,5.1875,7
Meandrina jacksoni,19,7.25,127.25
Meandrina meandrites,9,4,33
Meandrina spp,NA,NA,NA
Montastraea cavernosa,20,4,81.325
Mussa angulosa,13,6,28.4
Mycetophyllia aliciae,14,4,42
Mycetophyllia danaana,19,19,19
Mycetophyllia ferox,20,9,35
Mycetophyllia lamarckiana,20,7,30
Mycetophyllia spp,11,5.5,23.1
Oculina diffusa,12.5,4,25.65
Oculina robusta,10,5.25,14.75
Oculina spp,10,10,10
Orbicella annularis,40,5,208.75
Orbicella annularis species complex,17.5,4.375,65.75
Orbicella faveolata,45,8,200
Orbicella franksi,30,8,110
Orbicella spp,6,4.1,6
Other coral,9.5,5.15,18.475
Phyllangia americana,5,5,5
Porites astreoides,9,4,27
Porites branneri,9,6.15,11.85
Porites colonensis,17,10.4,24.9
Porites divaricata,9,4,31.05
Porites furcata,11.5,4,42.3
Porites porites,8,4,35
Porites spp,4.5,4,9.875
Pseudodiploria clivosa,20,4,56.25
Pseudodiploria strigosa,15,4,70.8
Scolymia cubensis,4,4,6
Scolymia lacera,5,4,5.85
Scolymia spp,5,4.225,9.55
Siderastrea radians,6,4,20
Siderastrea siderea,10,4,50
Siderastrea spp,13,6.625,15
Solenastrea bournoni,13.5,4,40
Solenastrea hyades,5,5,5
Solenastrea spp,6.5,5.075,7.925
Stephanocoenia intersepta,9,4,31
Undaria spp,12,8.2,15.8
