,REGION,SUB_REGION,SUB_REGION_2,HABITAT_TYPE,YEAR,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,CORAL_NCRMP_CODE,CORAL_REEFBUDGET_CODE,CORAL_ID,CORAL_MORPHOLOGY,PERCENT_COVER
0,DRTO,DryTortugas,DRTO,Forereef,2016,2069,24.7025184,-82.77184887,AGA AGAR,AGA,Agaricia agaricites,encrusting,1.0
1,DRTO,DryTortugas,DRTO,Forereef,2016,2069,24.7025184,-82.77184887,MAD FORM,MDF,Madracis formosa,branching,1.0
2,DRTO,DryTortugas,DRTO,Forereef,2016,2069,24.7025184,-82.77184887,MON CAVE,MOC,Montastraea cavernosa,massive,1.0
3,DRTO,DryTortugas,DRTO,Forereef,2016,2069,24.7025184,-82.77184887,STE INTE,STI,Stephanocoenia intersepta,submassive,1.0
4,DRTO,DryTortugas,DRTO,Forereef,2016,2072,24.72435,-82.8107,AGA AGAR,AGA,Agaricia agaricites,encrusting,1.0
5,DRTO,DryTortugas,DRTO,Forereef,2016,2072,24.72435,-82.8107,COL NATA,CON,Colpophyllia natans,massive,4.0
6,DRTO,DryTortugas,DRTO,Forereef,2016,2072,24.72435,-82.8107,DIP LABY,DIL,Diploria labyrinthiformis,massive,2.0
7,DRTO,DryTortugas,DRTO,Forereef,2016,2072,24.72435,-82.8107,MON CAVE,MOC,Montastraea cavernosa,massive,4.0
8,DRTO,DryTortugas,DRTO,Forereef,2016,2072,24.72435,-82.8107,ORB FRAN,ORFR,Orbicella franksi,massive,12.0
9,DRTO,DryTortugas,DRTO,Forereef,2016,2072,24.72435,-82.8107,POR ASTR,POA,Porites astreoides,submassive,1.0
10,DRTO,DryTortugas,DRTO,Forereef,2016,2072,24.72435,-82.8107,POR FURC,POF,Porites furcata,branching,1.0
11,DRTO,DryTortugas,DRTO,Forereef,2016,2073,24.60679,-82.8719,MAD DECA,MDD,Madracis decactis,encrusting,1.0
12,DRTO,DryTortugas,DRTO,Forereef,2016,2073,24.60679,-82.8719,MON CAVE,MOC,Montastraea cavernosa,massive,3.0
13,DRTO,DryTortugas,DRTO,Forereef,2016,2073,24.60679,-82.8719,ORB FRAN,ORFR,Orbicella franksi,massive,3.0
14,DRTO,DryTortugas,DRTO,Forereef,2016,2073,24.60679,-82.8719,POR ASTR,POA,Porites astreoides,submassive,2.0
15,DRTO,DryTortugas,DRTO,Forereef,2016,2073,24.60679,-82.8719,SID SIDE,SIS,Siderastrea siderea,massive,4.0
16,DRTO,DryTortugas,DRTO,Forereef,2016,2073,24.60679,-82.8719,STE INTE,STI,Stephanocoenia intersepta,submassive,3.0
17,DRTO,DryTortugas,DRTO,Forereef,2016,2078,24.65183,-82.95745,MON CAVE,MOC,Montastraea cavernosa,massive,12.0
18,DRTO,DryTortugas,DRTO,Forereef,2016,2078,24.65183,-82.95745,ORB FRAN,ORFR,Orbicella franksi,massive,4.0
19,DRTO,DryTortugas,DRTO,Forereef,2016,2078,24.65183,-82.95745,POR ASTR,POA,Porites astreoides,submassive,2.0
20,DRTO,DryTortugas,DRTO,Forereef,2016,2078,24.65183,-82.95745,SID SIDE,SIS,Siderastrea siderea,massive,2.0
21,DRTO,DryTortugas,DRTO,Forereef,2016,2078,24.65183,-82.95745,STE INTE,STI,Stephanocoenia intersepta,submassive,4.0
22,DRTO,DryTortugas,DRTO,Forereef,2016,2081,24.69691,-82.85974,MON CAVE,MOC,Montastraea cavernosa,massive,1.0
23,DRTO,DryTortugas,DRTO,Forereef,2016,2088,24.58912,-82.94318,MON CAVE,MOC,Montastraea cavernosa,massive,2.0
24,DRTO,DryTortugas,DRTO,Forereef,2016,2088,24.58912,-82.94318,ORB FAVE,ORF,Orbicella faveolata,massive,1.0
25,DRTO,DryTortugas,DRTO,Forereef,2016,2088,24.58912,-82.94318,ORB FRAN,ORFR,Orbicella franksi,massive,2.0
26,DRTO,DryTortugas,DRTO,Forereef,2016,2088,24.58912,-82.94318,POR ASTR,POA,Porites astreoides,submassive,3.0
27,DRTO,DryTortugas,DRTO,Forereef,2016,2088,24.58912,-82.94318,SID SIDE,SIS,Siderastrea siderea,massive,5.0
28,DRTO,DryTortugas,DRTO,Forereef,2016,2091,24.63534,-82.84103,SID SIDE,SIS,Siderastrea siderea,massive,2.0
29,DRTO,DryTortugas,DRTO,Forereef,2016,2091,24.63534,-82.84103,STE INTE,STI,Stephanocoenia intersepta,submassive,2.0
30,DRTO,DryTortugas,DRTO,Forereef,2016,2093,24.65625339,-82.78432198,MUS ANGU,MUA,Mussa angulosa,submassive,1.0
31,DRTO,DryTortugas,DRTO,Forereef,2016,2093,24.65625339,-82.78432198,POR ASTR,POA,Porites astreoides,submassive,2.0
32,DRTO,DryTortugas,DRTO,Forereef,2016,2093,24.65625339,-82.78432198,SID SIDE,SIS,Siderastrea siderea,massive,1.0
33,DRTO,DryTortugas,DRTO,Forereef,2016,2097,24.72367,-82.78785,MON CAVE,MOC,Montastraea cavernosa,massive,4.0
34,DRTO,DryTortugas,DRTO,Forereef,2016,2097,24.72367,-82.78785,ORB FRAN,ORFR,Orbicella franksi,massive,2.0
35,DRTO,DryTortugas,DRTO,Forereef,2016,2097,24.72367,-82.78785,POR ASTR,POA,Porites astreoides,submassive,2.0
36,DRTO,DryTortugas,DRTO,Forereef,2016,2097,24.72367,-82.78785,STE INTE,STI,Stephanocoenia intersepta,submassive,4.0
37,DRTO,DryTortugas,DRTO,Forereef,2016,2098,24.72343,-82.83911,MAD DECA,MDD,Madracis decactis,encrusting,1.0
38,DRTO,DryTortugas,DRTO,Forereef,2016,2098,24.72343,-82.83911,MON CAVE,MOC,Montastraea cavernosa,massive,1.0
39,DRTO,DryTortugas,DRTO,Forereef,2016,2098,24.72343,-82.83911,POR ASTR,POA,Porites astreoides,submassive,1.0
40,DRTO,DryTortugas,DRTO,Forereef,2016,2098,24.72343,-82.83911,STE INTE,STI,Stephanocoenia intersepta,submassive,2.0
41,DRTO,DryTortugas,DRTO,Forereef,2016,2099,24.72701,-82.81797,MON CAVE,MOC,Montastraea cavernosa,massive,4.597701149
42,DRTO,DryTortugas,DRTO,Forereef,2016,2099,24.72701,-82.81797,ORB FAVE,ORF,Orbicella faveolata,massive,2.298850575
43,DRTO,DryTortugas,DRTO,Forereef,2016,2099,24.72701,-82.81797,ORB FRAN,ORFR,Orbicella franksi,massive,6.896551724
44,DRTO,DryTortugas,DRTO,Forereef,2016,2099,24.72701,-82.81797,POR ASTR,POA,Porites astreoides,submassive,1.149425287
45,DRTO,DryTortugas,DRTO,Forereef,2016,2099,24.72701,-82.81797,STE INTE,STI,Stephanocoenia intersepta,submassive,1.149425287
46,DRTO,DryTortugas,DRTO,Forereef,2016,2101,24.72773502,-82.77866436,MAD DECA,MDD,Madracis decactis,encrusting,1.0
47,DRTO,DryTortugas,DRTO,Forereef,2016,2101,24.72773502,-82.77866436,MON CAVE,MOC,Montastraea cavernosa,massive,4.0
48,DRTO,DryTortugas,DRTO,Forereef,2016,2101,24.72773502,-82.77866436,POR ASTR,POA,Porites astreoides,submassive,1.0
