"","name","length_mean","length_lwr","length_upr"
"1","Acropora cervicornis",20,7,66.825
"2","Acropora palmata",12.5,6.975,18
"3","Agaricia agaricites",9,4,29
"4","Agaricia fragilis",8,4,19.475
"5","Agaricia grahamae",NA,NA,NA
"6","Agaricia humilis",7.5,4,23.475
"7","Agaricia lamarcki",24,5,82.825
"8","Agaricia spp",6.5,4.275,8.45
"9","Cladocora arbuscula",6,6,9.7
"10","Colpophyllia natans",30,5,121.999999999999
"11","Dendrogyra cylindrus",115,115,115
"12","Dichocoenia stokesii",8,4,25
"13","Diploria labyrinthiformis",18,4,55
"14","Eusmilia fastigiata",8,4,24
"15","Favia fragum",4,4,20
"16","Helioceris cucullata",14,5,33.775
"17","Isophyllastrea rigida",22,22,22
"18","Isophyllia sinuosa",6,6,6
"19","Madracis auretenra",7,5,123.15
"20","Madracis decactis",12,4,40
"21","Madracis formosa",10.5,5,23.375
"22","Madracis pharensis",20,20,20
"23","Madracis senaria",13,6.95,28.525
"24","Madracis spp",11,5.3,25.25
"25","Manicina areolata",5,4,15.975
"26","Meandrina danae",7,5.1875,7
"27","Meandrina jacksoni",19,7.25,127.25
"28","Meandrina meandrites",9,4,33
"29","Meandrina spp",NA,NA,NA
"30","Montastraea cavernosa",20,4,81.3249999999998
"31","Mussa angulosa",13,6,28.4
"32","Mycetophyllia aliciae",14,4,42
"33","Mycetophyllia danaana",19,19,19
"34","Mycetophyllia ferox",20,9,35
"35","Mycetophyllia lamarckiana",20,7,30
"36","Mycetophyllia spp",11,5.5,23.1
"37","Oculina diffusa",12.5,4,25.65
"38","Oculina robusta",10,5.25,14.75
"39","Oculina spp",10,10,10
"40","Orbicella annularis",40,5,208.75
"41","Orbicella annularis species complex",17.5,4.375,65.75
"42","Orbicella faveolata",45,8,200
"43","Orbicella franksi",30,8,110
"44","Orbicella spp",6,4.1,6
"45","Other coral",9.5,5.15,18.475
"46","Phyllangia americana",5,5,5
"47","Porites astreoides",9,4,27
"48","Porites branneri",9,6.15,11.85
"49","Porites colonensis",17,10.4,24.9
"50","Porites divaricata",9,4,31.05
"51","Porites furcata",11.5,4,42.3
"52","Porites porites",8,4,35
"53","Porites spp",4.5,4,9.875
"54","Pseudodiploria clivosa",20,4,56.25
"55","Pseudodiploria strigosa",15,4,70.8
"56","Scolymia cubensis",4,4,6
"57","Scolymia lacera",5,4,5.85
"58","Scolymia spp",5,4.225,9.55
"59","Siderastrea radians",6,4,20
"60","Siderastrea siderea",10,4,50
"61","Siderastrea spp",13,6.625,15
"62","Solenastrea bournoni",13.5,4,40
"63","Solenastrea hyades",5,5,5
"64","Solenastrea spp",6.5,5.075,7.925
"65","Stephanocoenia intersepta",9,4,31
"66","Undaria spp",12,8.2,15.8
