Caribbean species,IP10_19cm,IP20_29cm,IP30_39cm,IP40_49cm,TP10_19cm,TP20_29cm,TP30_39cm,TP40_49cm,TP50_59cm
Sparisoma.viride,5.85,50.63,133.00,252.40,9.04,43.48,92.12,171.65,248.55
Sparisoma.aurofrenatum,0.21,0.48,NA,NA,0.19,0.36,NA,NA,NA
Sparisoma.rubripinne,0.14,0.47,1.07,0.97,0.11,0.39,0.72,0.78,NA
Sparisoma.chrysopterum,0.07,0.24,0.70,0.30,0.06,0.18,0.37,0.24,NA
Scarus.vetula,2.09,11.31,40.35,106.11,1.93,12.49,40.62,95.55,162.38
Scarus.taeniopterus,1.11,6.02,16.96,NA,1.03,5.59,15.88,NA,NA
Scarus.iseri,0.72,3.46,6.79,NA,0.61,2.94,5.77,NA,NA
Scarus.guacamaia,1.76,6.46,18.28,35.79,1.76,6.46,18.28,35.79,69.43
Scarus.coelestinus,1.96,7.32,21.09,33.46,1.96,7.32,21.09,33.46,52.07
Scarus.coeruleus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
