Time,Site,LR,HR
2000,Cheeca Rocks,0.017650632,0.067356746
2000,Dry Tortugas,0.017553721,0.068074533
2000,Flower Garden Banks,0.017163182,0.066967456
2000,La Parguera,0.017438775,0.070157485
2000,Saint Croix,0.017481455,0.070242558
2000,Saint Thomas,0.017607783,0.070017115
2001,Cheeca Rocks,0.204690703,1.171707602
2001,Dry Tortugas,-0.037485559,-1.730258821
2001,Flower Garden Banks,-2.621458299,-1.64143456
2001,La Parguera,0.585513585,0.745277246
2001,Saint Croix,0.709892741,1.430885936
2001,Saint Thomas,0.908269643,0.952136662
2002,Cheeca Rocks,-0.857414983,1.34865993
2002,Dry Tortugas,-1.661474062,0.688215231
2002,Flower Garden Banks,-4.215010386,-0.071196961
2002,La Parguera,0.22675848,2.180134003
2002,Saint Croix,0.840889958,2.030049251
2002,Saint Thomas,0.733016067,1.560755907
2003,Cheeca Rocks,-0.113148806,-1.287755974
2003,Dry Tortugas,-0.484814843,-3.50606115
2003,Flower Garden Banks,-0.972094657,-1.722981061
2003,La Parguera,0.167308637,3.8549869
2003,Saint Croix,0.719693739,2.968049779
2003,Saint Thomas,0.371896012,2.816281892
2004,Cheeca Rocks,-0.310845326,-0.032447739
2004,Dry Tortugas,-0.049024019,-1.318376042
2004,Flower Garden Banks,-1.839084018,-0.629335089
2004,La Parguera,1.521261339,0.845873636
2004,Saint Croix,1.927044539,1.216434857
2004,Saint Thomas,2.030781499,0.408997816
2005,Cheeca Rocks,-1.696624408,-1.498707976
2005,Dry Tortugas,-2.155113339,-0.765150993
2005,Flower Garden Banks,-5.558326426,-0.848136263
2005,La Parguera,-0.896386945,1.5977591
2005,Saint Croix,-0.640960682,1.425384803
2005,Saint Thomas,-0.348235365,1.277784615
2006,Cheeca Rocks,-1.053750853,-1.75323721
2006,Dry Tortugas,-1.555031875,-0.716491386
2006,Flower Garden Banks,-4.227365995,-0.89116349
2006,La Parguera,0.360786729,1.597451773
2006,Saint Croix,0.544916145,1.347106634
2006,Saint Thomas,0.547412971,1.132341296
2007,Cheeca Rocks,-0.503068491,-0.587188856
2007,Dry Tortugas,-0.904248476,-0.994583566
2007,Flower Garden Banks,-4.625654215,-0.149280819
2007,La Parguera,1.195145355,0.268675053
2007,Saint Croix,1.849967259,0.60528936
2007,Saint Thomas,1.539240354,-0.75476549
2008,Cheeca Rocks,-0.411107221,-4.887053708
2008,Dry Tortugas,-0.545513795,-7.690769989
2008,Flower Garden Banks,-3.753642254,-5.490729089
2008,La Parguera,1.957486628,0.863708986
2008,Saint Croix,2.403683787,2.599780663
2008,Saint Thomas,2.35619393,1.162490292
2009,Cheeca Rocks,-1.185039758,-6.340930253
2009,Dry Tortugas,-0.773911979,-2.14390907
