"Time","variable","CoralCover","Scenario"
2019,"0",26.7996713877008,"SSP2_4.5"
2020,"0",27.0140687588024,"SSP2_4.5"
2021,"0",27.2301813088728,"SSP2_4.5"
2022,"0",27.4480227593438,"SSP2_4.5"
2023,"0",27.8096823893897,"SSP2_4.5"
2024,"0",28.1742352964759,"SSP2_4.5"
2025,"0",28.5417046268189,"SSP2_4.5"
2026,"0",28.9121137118046,"SSP2_4.5"
2027,"0",29.2854860694701,"SSP2_4.5"
2028,"0",29.661845405997,"SSP2_4.5"
2029,"0",30.0412156172161,"SSP2_4.5"
2030,"0",30.423620790125,"SSP2_4.5"
2031,"0",30.8090852044171,"SSP2_4.5"
2032,"0",31.1976333340236,"SSP2_4.5"
2033,"0",31.773060445788,"SSP2_4.5"
2034,"0",32.3530909744464,"SSP2_4.5"
2035,"0",32.9377617473342,"SSP2_4.5"
2036,"0",33.527109886405,"SSP2_4.5"
2037,"0",34.1211728105884,"SSP2_4.5"
2038,"0",34.7199882381653,"SSP2_4.5"
2039,"0",35.3235941891628,"SSP2_4.5"
2040,"0",35.9320289877683,"SSP2_4.5"
2041,"0",36.5453312647626,"SSP2_4.5"
2042,"0",37.1635399599729,"SSP2_4.5"
2043,"0",36.7098242892417,"SSP2_4.5"
2044,"0",37.0035028835556,"SSP2_4.5"
2045,"0",36.5122447848209,"SSP2_4.5"
2046,"0",36.031002556144,"SSP2_4.5"
2047,"0",35.5589267029199,"SSP2_4.5"
2048,"0",35.0958275111798,"SSP2_4.5"
2049,"0",34.6415196512281,"SSP2_4.5"
2050,"0",34.1958220670014,"SSP2_4.5"
2051,"0",33.758557868399,"SSP2_4.5"
2052,"0",33.329554226501,"SSP2_4.5"
2053,"0",31.4728138194959,"SSP2_4.5"
2054,"0",29.7468457161819,"SSP2_4.5"
2055,"0",28.1414903447941,"SSP2_4.5"
2056,"0",26.6474429505702,"SSP2_4.5"
2057,"0",25.2561763080272,"SSP2_4.5"
2058,"0",23.9598708553486,"SSP2_4.5"
2059,"0",22.7513515044635,"SSP2_4.5"
2060,"0",21.6240304579858,"SSP2_4.5"
2061,"0",20.5718554335139,"SSP2_4.5"
2062,"0",19.5892627577653,"SSP2_4.5"
2063,"0",18.6711348484322,"SSP2_4.5"
2064,"0",17.8127616511944,"SSP2_4.5"
2065,"0",17.0098056436499,"SSP2_4.5"
2066,"0",16.2582700575818,"SSP2_4.5"
2067,"0",15.5544700064711,"SSP2_4.5"
2068,"0",14.8950062369391,"SSP2_4.5"
2069,"0",14.2767412512514,"SSP2_4.5"
2070,"0",13.6967775734989,"SSP2_4.5"
2071,"0",13.1524379549044,"SSP2_4.5"
2072,"0",12.6412473341628,"SSP2_4.5"
2073,"0",12.1609163870696,"SSP2_4.5"
2074,"0",11.7093265161428,"SSP2_4.5"
2075,"0",11.2845161457017,"SSP2_4.5"
2076,"0",10.8846682011085,"SSP2_4.5"
2077,"0",10.5080986627696,"SSP2_4.5"
2078,"0",10.1532460961672,"SSP2_4.5"
2079,"0",9.8186620687848,"SSP2_4.5"
2080,"0",9.50300237340829,"SSP2_4.5"
2081,"0",9.20501898503271,"SSP2_4.5"
2082,"0",8.92355268557554,"SSP2_4.5"
2083,"0",8.657526296866,"SSP2_4.5"
2084,"0",8.40593846802493,"SSP2_4.5"
2085,"0",8.16785796843203,"SSP2_4.5"
2086,"0",7.9424184420562,"SSP2_4.5"
2087,"0",7.72881358305125,"SSP2_4.5"
2088,"0",7.52629269624079,"SSP2_4.5"
2089,"0",7.33415660947258,"SSP2_4.5"
2090,"0",7.15175390785308,"SSP2_4.5"
2091,"0",6.97847746260821,"SSP2_4.5"
2092,"0",6.81376122978838,"SSP2_4.5"
2093,"0",6.65707729627005,"SSP2_4.5"
2094,"0",6.50793315252631,"SSP2_4.5"
2095,"0",6.36586917346744,"SSP2_4.5"
2096,"0",6.23045629030713,"SSP2_4.5"
2097,"0",6.10129383790974,"SSP2_4.5"
2098,"0",5.97800756343192,"SSP2_4.5"
2099,"0",5.86024778330477,"SSP2_4.5"
2100,"0",5.74768767671978,"SSP2_4.5"
2019,"0.25",26.7996713877008,"SSP2_4.5"
2020,"0.25",27.0140687588024,"SSP2_4.5"
2021,"0.25",27.2301813088728,"SSP2_4.5"
2022,"0.25",27.4480227593438,"SSP2_4.5"
2023,"0.25",27.8096823893897,"SSP2_4.5"
2024,"0.25",28.1742352964759,"SSP2_4.5"
2025,"0.25",28.5417046268189,"SSP2_4.5"
2026,"0.25",28.9121137118046,"SSP2_4.5"
2027,"0.25",29.2854860694701,"SSP2_4.5"
2028,"0.25",29.661845405997,"SSP2_4.5"
2029,"0.25",30.0412156172161,"SSP2_4.5"
2030,"0.25",30.423620790125,"SSP2_4.5"
2031,"0.25",30.8090852044171,"SSP2_4.5"
2032,"0.25",31.1976333340236,"SSP2_4.5"
