name,morphology,ext_mean,ext_sd,planar_ratio_mean,planar_ratio_upr,planar_ratio_lwr,planar_mean,planar_upr,planar_lwr
Acropora cervicornis,branching,11.57333333,0.194072794,1.75,2.333333333,1.25,20.25333333,27.45728096,14.22407567
Acropora palmata,branching,6.69047619,0.065368169,1.715981735,2.5,1.175,11.48073494,16.8896109,7.784501925
Acropora prolifera,branching,5.3835,0.4748247,1.595454545,2.625,1.175,8.589129545,15.37810234,5.767693478
Agaricia agaricites,encrusting/sub-massive,0.3063125,0.010618843,3,5,2,0.9189375,1.584656717,0.591387313
Agaricia fragilis,plating,0.483333333,0.006533333,5,8,3.5,2.416666667,3.918933333,1.6688
Agaricia grahamae,plating,0.483333333,0.006533333,5.166666667,9,2.765151515,2.497222222,4.4088,1.318424242
Agaricia humilis,encrusting/sub-massive,0.3063125,0.010618843,2.777777778,5,1.75,0.850868056,1.584656717,0.517463899
Agaricia lamarcki,plating,0.483333333,0.006533333,6,10.41666667,3.333333333,2.9,5.102777778,1.589333333
Agaricia tenuifolia,platy branches,0.483333333,0.006533333,2,3.541666667,1.258928571,0.966666667,1.734944444,0.600257143
Cladocora arbuscula,branching,1.931475,0.162504995,2,3.333333333,1.5,3.86295,6.979933316,2.653455008
Colpophyllia natans,massive,0.635444444,0.011362419,3,5,2,1.906333333,3.234034315,1.248164052
Dendrogyra cylindrus,columnar,1.341,0.069424461,1.195238095,2.169642857,0.832692308,1.602814286,3.060117356,1.05883117
Dichocoenia stokesii,massive,0.2,0,2,2.857142857,1.5,0.4,0.571428571,0.3
Diploria labyrinthiformis,massive,0.408,0.004569296,2.25,3.464285714,1.571428571,0.918,1.429257919,0.633962534
Eusmilia fastigiata,branching,0.7,0,2,2.5,1.5,1.4,1.75,1.05
Favia fragum,submassive,0.5,0,2.366666667,4,1.643939394,1.183333333,2,0.821969697
Isophyllia sinuosa,massive,0.5,0,2.666666667,3.4,2.333333333,1.333333333,1.7,1.166666667
Madracis auretenra,branching,1.51,0.059568094,2,3,1.5,3.02,4.708704283,2.175647858
Madracis carmabi,branching,1.931475,0.162504995,3.416666667,3.458333333,3.375,6.59920625,7.241680815,5.970273768
Madracis decactis,encrusting/sub-massive,0.3063125,0.010618843,2.333333333,4,1.571428571,0.714729167,1.267725373,0.46466146
Madracis formosa,branching,1.931475,0.162504995,2,3.05,1.273809524,3.86295,6.386638984,2.25333084
Madracis pharensis,encrusting/sub-massive,0.3063125,0.010618843,4.333333333,7.5,3.05,1.327354167,2.376985075,0.901865653
Madracis senaria,encrusting/sub-massive,0.3063125,0.010618843,2.071428571,3.30625,1.416666667,0.634504464,1.047854254,0.418899347
Manicina areolata,freeliving,0.842333333,0.014908173,2.5,4,2,2.105833333,3.428966027,1.65485032
Meandrina danae,freeliving,0.1146,0.001286154,3,5,2.166666667,0.3438,0.579430772,0.245513332
Meandrina meandrites,massive,0.1146,0.001286154,3,4.5,2,0.3438,0.521487694,0.226627691
Montastraea cavernosa,massive,0.379,0.009617082,2,3.333333333,1.3,0.758,1.295390273,0.480197793
Mussa angulosa,submassive,0.50650115,0.023702089,3,4.5,2.041666667,1.519503449,2.385914572,0.98571475
Mycetophyllia aliciae,plating,0.483333333,0.006533333,5.5,8,4,2.658333333,3.918933333,1.9072
Mycetophyllia ferox,plating,0.483333333,0.006533333,7.45,10,4,3.600833333,4.898666667,1.9072
Mycetophyllia lamarckiana,submassive,0.50650115,0.023702089,4,6.625,3.233333333,2.026004599,3.512596454,1.561050298
Oculina diffusa,branching,1.7655,0.097118,1.5,1.916666667,1.285714286,2.64825,3.570017833,2.145062571
Orbicella annularis,massive,0.918175,0.007789461,1.5,2.2,1.1,1.3772625,2.037121814,1.001424093
Orbicella faveolata,massive,0.930111111,0.009408466,2.666666667,5.2,1.606331169,2.480296296,4.885501799,1.478953357
Orbicella franksi,massive,0.332976923,0.010997229,2.833333333,5.5,1.681363636,0.943434615,1.891857834,0.54136495
Porites astreoides,submassive,0.451953125,0.009860424,2.5,4,1.666666667,1.129882813,1.847254196,0.736821168
Porites branneri,encrusting/sub-massive,0.451953125,0.009860424,3,5,2.446428571,1.355859375,2.309067745,1.081548215
Porites colonensis,plating,0.483,0.010618843,5,7.625,3.1625,2.415,3.76384368,1.493905408
Porites divaricata,branching,1.747875,0.060511403,1.769230769,2.5,1.3,3.092394231,4.520966007,2.193572676
Porites furcata,branching,2.234,0.093390658,2,2.666666667,1.4,4.468,6.206375088,2.996853079
Porites porites,branching,1.747875,0.060511403,1.857142857,2.5,1.375,3.246053571,4.520966007,2.320124946
Pseudodiploria clivosa,massive,0.4785,0.015386,4,7.5,2.4,1.914,3.704145,1.1114736
Pseudodiploria strigosa,massive,0.490571429,0.011970128,2.6,4.166666667,1.785714286,1.275485714,2.093923152,0.85464518
Scolymia cubensis,freeliving,0.3063125,0.010618843,4,4,2.5,1.22525,1.267725373,0.739234142
Scolymia lacera,freeliving,0.3063125,0.010618843,2.75,3.875,2.5,0.842359375,1.228108955,0.739234142
Siderastrea radians,encrusting/sub-massive,0.367615385,0.00837211,3.666666667,5,2.326923077,1.347923077,1.879937473,0.835931466
Siderastrea siderea,massive,0.367615385,0.00837211,3,4.5,2,1.102846154,1.691943726,0.718486549
Solenastrea bournoni,massive,0.89,0,1.866071429,3.4,1.25,1.660803571,3.026,1.1125
Solenastrea hyades,submassive,0.266666667,0.022866667,2.5,2.5,2.5,0.666666667,0.723833333,0.6095
Stephanocoenia intersepta,submassive,0.34,0.03136,3.25,5,2.125,1.105,1.8568,0.65586
Tubastraea coccinea,branching,1.931475,0.162504995,2,2.5,1.666666667,3.86295,5.234949987,2.948283342
