name,morphology,ext_mean,ext_sd,planar_ratio_mean,planar_ratio_upr,planar_ratio_lwr,planar_mean,planar_upr,planar_lwr
Acropora cervicornis,branching,11.57333333,0.194072794,1.435416667,2.064732143,1.094842657,16.61255556,24.29654167,12.45849985
Acropora palmata,branching,6.69047619,0.065368169,1.496575342,2.142857143,1,10.0128017,14.47680934,6.625108021
Acropora prolifera,branching,5.3835,0.4748247,1.426515152,1.875,1.025,7.679644318,10.98435881,5.031392183
Agaricia agaricites,encrusting/sub-massive,0.3063125,0.010618843,2.5,4.5,1.666666667,0.76578125,1.426191045,0.492822761
Agaricia fragilis,plating,0.483333333,0.006533333,4.666666667,6.5,3.160714286,2.255555556,3.184133333,1.507028571
Agaricia grahamae,plating,0.483333333,0.006533333,4.5,7.25,2.333333333,2.175,3.551533333,1.112533333
Agaricia humilis,encrusting/sub-massive,0.3063125,0.010618843,2.5,4.5,1.5,0.76578125,1.426191045,0.443540485
Agaricia lamarcki,plating,0.483333333,0.006533333,5,9,2.875,2.416666667,4.4088,1.3708
Agaricia spp.,encrusting/sub-massive,0.3063125,0.010618843,2.5,3.75,1.75,0.76578125,1.188492537,0.517463899
Agaricia tenuifolia,platy branches,0.483333333,0.006533333,1.75,2.796875,1.169642857,0.845833333,1.370095833,0.557685714
Cladocora arbuscula,branching,1.931475,0.162504995,1.583333333,2.25,1.4,3.05816875,4.711454988,2.476558007
Crustose coralline algae,CCA,0.023502813,0.008228363,1,1,1,0.023502813,0.031731176,0.015274449
Colpophyllia natans,massive,0.635444444,0.011362419,2.675438596,4.5,1.833333333,1.700092593,2.910630884,1.144150381
Dendrogyra cylindrus,columnar,1.341,0.069424461,1.1,1.964285714,0.73914956,1.4751,2.770476619,0.939884501
Dichocoenia stokesii,massive,0.2,0,1.75,2.55,1.375,0.35,0.51,0.275
Diploria labyrinthiformis,massive,0.408,0.004569296,2,3,1.45,0.816,1.237707889,0.58497452
Eusmilia fastigiata,branching,0.7,0,1.6,2,1.3125,1.12,1.4,0.91875
Favia fragum,submassive,0.5,0,2.083333333,3.5,1.511363636,1.041666667,1.75,0.755681818
Helioseris cucullata,plating,0.483333333,0.006533333,4.5,6.625,3,2.175,3.2453667,1.4304
Isophyllia sinuosa,massive,0.5,0,2.416666667,3.0625,2.092857143,1.208333333,1.53125,1.046428571
Isophyllia sinuosa,massive,0.275,0,2.25,2.64375,1.5714286,0.61875,0.7270313,0.4321429
Madracis auretenra,branching,1.51,0.059568094,1.69047619,2.25,1.25,2.552619048,3.531528212,1.813039882
Madracis carmabi,branching,1.931475,0.162504995,2.875,3,2.75,5.552990625,6.281939984,4.864667515
Madracis decactis,encrusting/sub-massive,0.3063125,0.010618843,1.9,3.125,1.30625,0.58199375,0.990410448,0.386249839
Madracis formosa,branching,1.931475,0.162504995,1.666666667,2.65,1.020833333,3.219125,5.549046986,1.805823547
Madracis pharensis,encrusting/sub-massive,0.3063125,0.010618843,3.875,6.208333333,2.75,1.186960938,1.967615423,0.813157556
Madracis senaria,encrusting/sub-massive,0.3063125,0.010618843,2.208333333,3.4,1.260416667,0.676440104,1.077566567,0.372697213
Madracis spp.,branching,1.931475,0.162504995,2.5,4.375,1.75,4.8286875,9.161162477,3.095697509
Manicina areolata,freeliving,0.842333333,0.014908173,2.25,3,1.75,1.89525,2.57172452,1.44799403
Meandrina meandrites,massive,0.1146,0.001286154,2.5,4,1.8,0.2865,0.463544617,0.203964922
Meandrina spp.,freeliving,0.1146,0.001286154,2.5,2.5,2.5,0.2865,0.289715386,0.283284614
Millepora spp.,branching,1.220555556,0.054762343,1,1,1,1.220555556,1.275317899,1.165793213
Millepora alcicornis,branching,0.515,0,1,1,1,0.515,0.515,0.515
Millepora complanata,branching,1.573333333,0.082143515,1,1,1,1.573333333,1.655476848,1.491189819
Millepora squarrosa,encrusting,1.573333333,0.082143515,1,1,1,1.573333333,1.655476848,1.491189819
Montastraea cavernosa,massive,0.379,0.009617082,1.75,3,1.166666667,0.66325,1.165851246,0.430946738
Mussa angulosa,submassive,0.50650115,0.023702089,2.75,3.75,1.888888889,1.392878162,1.988262144,0.911953782
Mycetophyllia aliciae,plating,0.483333333,0.006533333,5.25,7.166666667,3.5,2.5375,3.510711111,1.6688
Mycetophyllia ferox,plating,0.483333333,0.006533333,6.7,9.208333333,3.5,3.238333333,4.510855556,1.6688
Mycetophyllia lamarckiana,submassive,0.50650115,0.023702089,3.75,6.416666667,3.125,1.899379311,3.402137446,1.508747066
Mycetophyllia spp.,plating,0.483333333,0.006533333,5.25,6.8125,3.75,2.5375,3.337216667,1.788
Oculina diffusa,branching,1.7655,0.097118,1.333333333,1.697916667,1.142857143,2.354,3.162570146,1.906722286
Orbicella spp.,massive,0.727087678,0.009398385,2.066666667,3.691666667,1.297058824,1.419445491,2.526899991,0.891576931
Orbicella annularis,massive,0.918175,0.007789461,1.3,1.875,0.95,1.1936275,1.736183364,0.864866262
Orbicella faveolata,massive,0.930111111,0.009408466,2.4,4.5,1.441176471,2.232266667,4.227838095,1.326894989
Orbicella franksi,massive,0.332976923,0.010997229,2.5,4.7,1.5,0.832442308,1.616678513,0.482969542
Porites astreoides,submassive,0.451953125,0.009860424,2.166666667,3.5,1.5,0.979231771,1.616347421,0.663139052
Porites branneri,encrusting/sub-massive,0.451953125,0.009860424,2.625,4.25,2,1.186376953,1.962707583,0.884185402
Porites colonensis,plating,0.483,0.010618843,4,5.75,2.9,1.932,2.838308349,1.369905354
Porites divaricata,branching,1.747875,0.060511403,1.5,2,1.078947368,2.6218125,3.616772806,1.820576513
Porites furcata,branching,2.234,0.093390658,1.583333333,2.166666667,1.166666667,3.537166667,5.042679759,2.497377566
Porites porites,branching,1.747875,0.060511403,1.5,2.166666667,1.166666667,2.6218125,3.918170539,1.968590863
Pseudodiploria spp.,massive,0.484535714,0.013678064,3.0254329,5.166666667,1.9,1.46191628,2.56833415,0.892306441
Pseudodiploria clivosa,massive,0.4785,0.015386,3.69047619,6.5,2.2,1.765892857,3.210259,1.0188508
Pseudodiploria strigosa,massive,0.490571429,0.011970128,2.36038961,3.833333333,1.6,1.157939703,1.9264093,0.765762081
Scolymia cubensis,freeliving,0.3063125,0.010618843,3.5,4,2.5,1.07209375,1.267725373,0.739234142
Scolymia lacera,freeliving,0.3063125,0.010618843,2.625,3.875,2.25,0.804070313,1.228108955,0.665310728
Siderastrea radians,encrusting/sub-massive,0.367615385,0.00837211,3,4,2,1.102846154,1.503949979,0.718486549
Siderastrea siderea,massive,0.367615385,0.00837211,2.571428571,4,1.833333333,0.945296703,1.503949979,0.65861267
Solenastrea bournoni,massive,0.89,0,1.738636364,2.979166667,1.144642857,1.547386364,2.651458333,1.018732143
Solenastrea hyades,submassive,0.266666667,0.022866667,2.25,2.25,2.25,0.6,0.65145,0.54855
