"Time","Scenario","variable","perHC","perBBS","permicro","perSCP"
2019,"SSP2_4.5","0",90.8,1.4,7.3,0.5
2019,"SSP2_4.5","0.25",90.8,1.4,7.3,0.5
2019,"SSP2_4.5","0.5",90.8,1.4,7.3,0.5
2019,"SSP2_4.5","0.75",90.8,1.4,7.3,0.5
2019,"SSP2_4.5","1",90.8,1.4,7.3,0.5
2019,"SSP2_4.5","1.25",90.8,1.4,7.3,0.5
2019,"SSP2_4.5","1.5",90.8,1.4,7.3,0.5
2019,"SSP2_4.5","1.75",90.8,1.4,7.3,0.5
2019,"SSP2_4.5","2",90.8,1.4,7.3,0.5
2019,"SSP5_8.5","0",90.7,1.4,7.4,0.5
2019,"SSP5_8.5","0.25",90.7,1.4,7.4,0.5
2019,"SSP5_8.5","0.5",90.7,1.4,7.4,0.5
2019,"SSP5_8.5","0.75",90.7,1.4,7.4,0.5
2019,"SSP5_8.5","1",90.7,1.4,7.4,0.5
2019,"SSP5_8.5","1.25",90.7,1.4,7.4,0.5
2019,"SSP5_8.5","1.5",90.7,1.4,7.4,0.5
2019,"SSP5_8.5","1.75",90.7,1.4,7.4,0.5
2019,"SSP5_8.5","2",90.7,1.4,7.4,0.5
2020,"SSP2_4.5","0",90.5,1.4,7.6,0.5
2020,"SSP2_4.5","0.25",90.5,1.4,7.6,0.5
2020,"SSP2_4.5","0.5",90.5,1.4,7.6,0.5
2020,"SSP2_4.5","0.75",90.5,1.4,7.6,0.5
2020,"SSP2_4.5","1",90.5,1.4,7.6,0.5
2020,"SSP2_4.5","1.25",90.5,1.4,7.6,0.5
2020,"SSP2_4.5","1.5",90.5,1.4,7.6,0.5
2020,"SSP2_4.5","1.75",90.5,1.4,7.6,0.5
2020,"SSP2_4.5","2",90.5,1.4,7.6,0.5
2020,"SSP5_8.5","0",90.3,1.4,7.8,0.5
2020,"SSP5_8.5","0.25",90.3,1.4,7.8,0.5
2020,"SSP5_8.5","0.5",90.3,1.4,7.8,0.5
2020,"SSP5_8.5","0.75",90.3,1.4,7.8,0.5
2020,"SSP5_8.5","1",90.3,1.4,7.8,0.5
2020,"SSP5_8.5","1.25",90.3,1.4,7.8,0.5
2020,"SSP5_8.5","1.5",90.3,1.4,7.8,0.5
2020,"SSP5_8.5","1.75",90.3,1.4,7.8,0.5
2020,"SSP5_8.5","2",90.3,1.4,7.8,0.5
2021,"SSP2_4.5","0",90.3,1.4,7.8,0.5
2021,"SSP2_4.5","0.25",90.3,1.4,7.8,0.5
2021,"SSP2_4.5","0.5",90.3,1.4,7.8,0.5
2021,"SSP2_4.5","0.75",90.3,1.4,7.8,0.5
2021,"SSP2_4.5","1",90.3,1.4,7.8,0.5
2021,"SSP2_4.5","1.25",90.3,1.4,7.8,0.5
2021,"SSP2_4.5","1.5",90.3,1.4,7.8,0.5
2021,"SSP2_4.5","1.75",90.3,1.4,7.8,0.5
2021,"SSP2_4.5","2",90.3,1.4,7.8,0.5
2021,"SSP5_8.5","0",90.6,1.4,7.5,0.5
2021,"SSP5_8.5","0.25",90.6,1.4,7.5,0.5
2021,"SSP5_8.5","0.5",90.6,1.4,7.5,0.5
2021,"SSP5_8.5","0.75",90.6,1.4,7.5,0.5
2021,"SSP5_8.5","1",90.6,1.4,7.5,0.5
2021,"SSP5_8.5","1.25",90.6,1.4,7.5,0.5
2021,"SSP5_8.5","1.5",90.6,1.4,7.5,0.5
2021,"SSP5_8.5","1.75",90.6,1.4,7.5,0.5
2021,"SSP5_8.5","2",90.6,1.4,7.5,0.5
2022,"SSP2_4.5","0",89.9,1.4,8.2,0.5
2022,"SSP2_4.5","0.25",89.9,1.4,8.2,0.5
2022,"SSP2_4.5","0.5",89.9,1.4,8.2,0.5
